a,b,c,e,idx
13.654761904761905,39.25347985347985,36.648534798534804,10.443223443223443,114693
9.003846153846153,23.51538461538462,50.29871794871795,17.18205128205128,79878
9.653846153846153,29.171428571428574,34.684615384615384,26.49010989010989,114695
22.003663003663004,40.220879120879125,27.393589743589743,10.381868131868133,114697
11.064102564102566,22.07179487179487,40.74230769230769,26.12179487179487,114699
17.811355311355314,29.73223443223443,39.88315018315018,12.573260073260071,114701
22.0968253968254,27.327579365079362,31.61269841269841,18.962896825396825,71696
37.81300366300366,35.731684981684985,18.027838827838828,8.427472527472528,71698
8.085714285714287,19.743589743589745,59.2967032967033,12.873992673992673,114707
8.481150793650794,31.13730158730159,35.390476190476186,24.991071428571427,71704
16.009920634920636,17.891666666666666,52.12599206349207,13.972420634920633,71706
56.57271062271062,15.445604395604395,12.943040293040294,15.038644688644691,73757
14.644444444444446,35.04166666666667,29.091666666666665,21.22222222222222,71713
18.15989010989011,19.585531135531134,46.867399267399264,15.387179487179484,114721
20.597985347985347,15.067032967032969,40.65494505494506,23.68003663003663,114723
80.10218253968254,12.198015873015871,7.699801587301587,0.0,71716
46.47959183673469,19.307653061224492,25.50357142857143,8.709183673469388,114725
48.75198412698413,20.21150793650794,17.796626984126984,13.239880952380952,71718
25.634199134199136,25.272077922077923,24.11038961038961,24.983333333333334,108585
24.474999999999998,37.94722222222222,19.275000000000002,18.30277777777778,73779
22.302813852813852,40.3474025974026,22.664069264069266,14.685714285714285,108600
18.573992673992674,34.143406593406596,29.682051282051283,17.60054945054945,73785
24.288492063492058,31.902777777777782,33.08988095238095,10.718849206349205,108608
27.282823129251703,23.79778911564626,37.09982993197279,11.819557823129253,114753
10.094805194805195,34.49891774891775,24.33679653679654,31.069480519480518,108611
24.842124542124544,10.110622710622712,55.744139194139194,9.303113553113553,73801
59.4937074829932,16.8484693877551,20.500170068027213,3.1576530612244893,73803
33.977655677655676,17.77435897435898,42.24706959706959,6.000915750915752,73805
36.39065934065934,30.54981684981685,20.46684981684982,12.592673992673992,114767
14.947802197802197,34.185164835164834,31.70787545787546,19.15915750915751,114771
15.1875,35.35456349206349,24.675595238095237,24.78234126984127,114773
81.04623015873015,4.765873015873017,14.045039682539683,0.14285714285714285,73821
19.883116883116884,24.75064935064935,27.8478354978355,27.51839826839827,114785
74.78075396825396,10.929563492063494,13.048611111111112,1.2410714285714286,114787
68.60367965367965,15.61904761904762,14.557575757575755,1.2196969696969697,114789
58.89848484848485,30.827922077922082,8.697835497835497,1.5757575757575757,114791
22.646969696969702,12.52077922077922,50.81082251082251,14.02142857142857,114797
23.679220779220774,16.58051948051948,47.50865800865801,12.23160173160173,114799
76.69146825396825,5.688095238095239,13.731746031746033,3.888690476190476,108656
30.878787878787875,19.45,34.70800865800865,14.963203463203463,114805
13.966450216450216,14.708874458874458,64.66233766233766,6.662337662337662,114809
35.31818181818182,19.25021645021645,30.319047619047623,15.112554112554113,114811
25.50995670995671,27.83571428571429,26.637878787878787,20.016450216450217,73854
41.57878787878788,22.774242424242424,22.478787878787877,13.16818181818182,114815
40.25194805194805,23.167316017316015,24.527489177489176,12.053246753246754,73856
22.532900432900433,20.307792207792208,31.52142857142857,25.637878787878787,114817
63.433982683982684,26.136796536796542,9.66948051948052,0.7597402597402598,73858
11.326556776556778,23.506959706959705,38.54139194139194,26.625091575091574,125057
31.918614718614716,28.94805194805195,32.15021645021645,6.9831168831168835,73860
69.36721611721612,20.304578754578756,8.994871794871795,1.3333333333333335,112773
27.177272727272722,10.001515151515152,54.06969696969697,8.75151515151515,73862
51.73809523809524,32.15575396825397,15.342261904761905,0.7638888888888888,108679
25.333333333333336,22.182900432900436,22.03766233766234,30.446103896103896,73864
75.92307692307692,5.441025641025641,17.57948717948718,1.0564102564102564,112777
16.28968253968254,18.40912698412698,53.08591269841269,12.215277777777779,108682
16.369047619047617,29.4489010989011,29.855677655677656,24.326373626373627,112779
47.917748917748916,18.259307359307357,25.844588744588744,7.978354978354978,73868
23.833333333333332,22.038278388278385,24.497252747252745,29.63113553113553,108685
34.85952380952381,33.5626984126984,20.40833333333333,11.169444444444444,114821
8.106547619047618,58.9486111111111,19.115079365079364,13.829761904761904,114823
8.418452380952381,45.67123015873015,22.54980158730159,23.360515873015874,114825
14.08968253968254,17.20595238095238,51.80793650793651,16.89642857142857,114827
82.86845238095239,9.838690476190477,7.112301587301587,0.18055555555555555,114829
26.132936507936506,28.251984126984127,30.209722222222222,15.405357142857143,114831
22.569444444444443,22.874007936507937,36.34365079365079,18.21289682539682,114833
13.93939393939394,28.87987012987013,36.56883116883117,20.61190476190476,114837
17.495670995670995,39.403246753246755,21.008874458874462,22.09220779220779,114839
70.9909090909091,17.65757575757576,11.351515151515152,0.0,114841
18.715201465201467,34.55128205128205,27.593772893772893,19.139743589743592,112795
23.32162698412699,19.410912698412698,41.166865079365074,16.100595238095238,114843
29.815476190476193,22.80019841269841,37.18154761904762,10.202777777777778,125083
13.944444444444443,19.744444444444444,39.77222222222222,26.53888888888889,108702
24.10138888888889,29.030555555555555,29.19027777777778,17.677777777777777,108703
20.800595238095237,34.14424603174603,26.506150793650793,18.549007936507937,108704
32.03076923076923,23.77051282051282,26.975641025641025,17.223076923076924,112799
13.582341269841267,20.997420634920637,23.564087301587303,41.85615079365079,114849
45.36038961038961,27.06212121212121,18.104978354978357,9.472510822510822,125405
8.467261904761905,17.513690476190476,41.12678571428571,32.8922619047619,112805
31.1981684981685,8.589010989010989,41.01282051282051,19.2,75942
34.146230158730155,23.18075396825397,31.109722222222217,11.563293650793652,75944
58.15151515151515,26.56060606060606,13.856060606060607,1.4318181818181819,125097
18.191071428571426,30.78293650793651,31.13095238095238,19.895039682539686,125407
10.42272727272727,29.717532467532468,30.12121212121212,29.73852813852814,125099
14.466483516483517,28.483516483516482,27.762637362637363,29.287362637362637,75948
33.69761904761905,37.089682539682535,18.453968253968252,10.75873015873016,112813
21.75,48.8234126984127,16.99285714285714,12.433730158730162,75950
47.098412698412695,11.893253968253967,26.67619047619048,14.332142857142857,112815
54.33181818181819,23.950432900432904,20.183766233766235,1.533982683982684,125103
70.76984126984128,8.024404761904762,17.70873015873016,3.4970238095238098,112817
22.404212454212452,7.377838827838827,58.871794871794876,11.346153846153843,75954
30.999206349206343,20.766666666666666,36.00277777777778,12.231349206349206,112819
29.05119047619048,29.926388888888894,30.771031746031742,10.251388888888888,75956
48.78787878787878,16.506493506493506,19.083333333333332,15.622294372294373,125107
83.24702380952381,7.8,8.772420634920636,0.18055555555555555,125409
13.483116883116883,25.31948051948052,39.53636363636363,21.661038961038958,125111
64.53945578231293,11.160884353741496,20.57959183673469,3.720068027210884,75960
63.81805555555555,15.59265873015873,16.85674603174603,3.7325396825396826,112829
28.001530612244903,14.909183673469387,39.99880952380953,17.090476190476192,75971
18.02216117216117,22.70787545787546,24.50641025641026,34.763553113553115,82117
16.809523809523807,36.37380952380953,28.962301587301585,17.854365079365078,112839
21.69047619047619,25.111721611721613,37.52032967032967,15.67747252747253,82124
67.38772893772895,24.83260073260073,6.864835164835164,0.9148351648351648,82126
15.425641025641028,35.44523809523809,39.1930402930403,9.936080586080585,82128
9.298717948717949,17.447802197802197,45.46813186813187,27.785347985347986,112851
67.32222222222222,23.04444444444444,9.466666666666667,0.16666666666666666,112857
22.8102380952381,22.352857142857147,33.542857142857144,21.294047619047618,112873
18.654761904761905,19.407142857142855,35.57452380952381,26.36357142857143,112875
65.4402380952381,20.668333333333333,12.96642857142857,0.925,112877
31.85201465201465,41.23516483516483,18.991391941391942,7.921428571428573,73727
35.875757575757575,23.71904761904762,32.03463203463204,8.37056277056277,112891
29.614087301587304,29.09861111111111,30.101190476190478,11.18611111111111,112893
8.809890109890109,30.80714285714286,37.240109890109885,23.142857142857142,35077
30.03315018315018,27.969597069597064,24.152014652014653,17.845238095238095,35081
53.96190476190476,18.61452380952381,13.761666666666665,13.661904761904761,112915
69.24642857142858,20.31714285714286,9.561428571428573,0.875,110897
38.72802197802197,26.22051282051282,26.16959706959707,8.881868131868131,78136
7.990842490842491,21.295604395604396,50.132051282051286,20.581501831501832,78139
14.02142857142857,31.097619047619045,29.76153846153846,25.11941391941392,78142
41.21758241758242,20.0992673992674,32.601831501831505,6.081318681318682,78144
31.929853479853477,33.552564102564105,25.11080586080586,9.406776556776558,78146
25.472789115646258,11.810204081632651,54.52789115646259,8.189115646258504,110917
28.01794871794872,34.51813186813187,28.202930402930402,9.260989010989011,78150
21.517948717948716,41.821794871794864,22.392307692307693,14.26794871794872,110919
10.66326530612245,32.06343537414967,40.34676870748299,16.926530612244896,110921
14.419230769230769,23.419963369963373,35.81263736263736,26.348168498168494,80204
47.34702380952381,20.829761904761906,23.152182539682542,8.671031746031746,80208
32.96666666666667,31.20416666666667,20.345833333333335,15.483333333333334,80210
8.691836734693878,28.881122448979593,44.996428571428574,17.430612244897958,110931
76.4186507936508,11.83174603174603,11.478769841269843,0.2708333333333333,80219
76.38827838827838,16.456959706959708,6.577838827838828,0.5769230769230769,80234
73.51688311688312,16.627922077922076,9.450000000000001,0.4051948051948052,80238
19.025641025641026,28.53846153846154,31.283333333333335,21.152564102564103,76150
79.21726190476191,14.673611111111112,5.616071428571428,0.4930555555555555,80252
15.440079365079365,29.524206349206352,29.109126984126984,25.9265873015873,80254
40.28131868131868,28.282051282051277,22.824908424908422,8.611721611721611,80256
30.28214285714285,29.818197278911565,26.149489795918374,13.750170068027213,76166
66.32397959183672,21.708843537414964,10.412414965986395,1.5547619047619048,76169
6.400793650793651,24.200793650793653,41.79623015873016,27.602182539682545,80265
36.45021645021645,17.58874458874459,20.10324675324675,25.85779220779221,80269
58.77820512820513,10.917948717948718,28.873076923076926,1.4307692307692308,70030
21.60757575757576,32.36818181818182,27.80757575757576,18.216666666666665,80275
8.441558441558442,38.99567099567099,21.375541125541126,31.187229437229437,80277
67.37599206349206,18.505555555555556,13.23373015873016,0.8847222222222221,125333
